clahe,suavizacao,precisao,recall,f1,vp,fp,fn,limiar_medio,limiar_desvio,ms_por_imagem
True,gaussiano,0.146,0.131,0.138,38,222,251,96.0,0.0,20.1
True,nenhuma,0.152,0.118,0.133,34,189,255,96.0,0.0,19.8
False,mediana,0.13,0.135,0.132,39,261,250,96.0,0.0,17.8
False,gaussiano,0.125,0.135,0.13,39,272,250,96.0,0.0,16.6
False,nenhuma,0.131,0.128,0.129,37,246,252,96.0,0.0,17.9
True,mediana,0.129,0.111,0.119,32,216,257,96.0,0.0,19.7
