imagem,objeto,forma,ambigua,area_px2,centroide_x,centroide_y,largura,altura,circularidade,solidez,extensao
captura_2023-09-29_16-19-23_png.rf.5166ee728cc6c7306aee8f6a732419fe.jpg,1,circular,True,290,327.9,456.1,16,34,0.49,0.822,0.534
captura_2023-10-10_17-49-29_png.rf.c1ed677abc9b90fa14470603a7ebf3c7.jpg,1,circular,True,402,293.5,603.5,18,48,0.327,0.741,0.465
captura_2023-10-10_17-49-29_png.rf.c1ed677abc9b90fa14470603a7ebf3c7.jpg,2,circular,True,4958,235.8,600.6,99,102,0.345,0.787,0.491
captura_2023-09-29_16-19-55_png.rf.8182a56b81db4a23dbc2e4c231c3b7b8.jpg,1,circular,True,194,329.8,465.1,17,23,0.609,0.851,0.497
captura_2023-10-02_14-58-39_png.rf.97fef327d1a5170cc172d3fd7f6b69be.jpg,1,triangular,False,1766,267.8,611.7,47,79,0.426,0.867,0.475
captura_2023-10-02_14-58-39_png.rf.97fef327d1a5170cc172d3fd7f6b69be.jpg,2,circular,True,738,464.7,12.1,42,36,0.387,0.77,0.488
captura_2023-09-28_15-41-02_png.rf.a330d66a9714e7410969aff11771d9fb.jpg,1,circular,True,2402,469.6,384.9,58,79,0.41,0.791,0.524
