imagem,limiar_T,pixels_objeto,objetos
captura_2023-10-09_13-51-24_png.rf.786ff49d69067866b2bf79da28ce2659.jpg,90.0,276204,1
captura_2023-10-02_15-19-36_png.rf.69fc7f5e7d3c3fb83a1353a2bb2b82e5.jpg,87.0,125062,4
captura_2023-09-28_16-03-07_png.rf.a94d89c6cc113bc7cb41edb54150672b.jpg,94.0,137742,2
captura_2023-10-05_15-18-57_png.rf.f09433f34a85ed2384b1edc55122a842.jpg,89.0,101264,1
captura_2023-10-02_16-06-20_png.rf.623c14d617e58c28b4ba8819a72a7303.jpg,66.0,4934,0
captura_2023-10-05_17-50-33_png.rf.8ae1aa2d418c6f9292988b715468e8c3.jpg,98.0,90029,0
