metodo,estagio,portas,quantil_area_min,area_minima,quantil_area_max,area_maxima,precisao,recall,f1,vp,fp,fn,limiar_medio,limiar_desvio,ms_por_imagem
global,1,vermelho=100;amarelo=120;azul=None,0.4,479,1.0,0,0.232,0.152,0.184,44,146,245,96.0,0.0,39.4
otsu_restrito,1,vermelho=100;amarelo=120;azul=None,0.3,355,1.0,0,0.19,0.173,0.181,50,213,239,73.8,16.4,42.7
otsu,1,vermelho=100;amarelo=120;azul=None,0.2,247,1.0,0,0.166,0.197,0.18,57,286,232,52.3,10.9,35.0
adaptativa,1,vermelho=100;amarelo=120;azul=None,0.3,355,1.0,0,0.204,0.159,0.179,46,179,243,,,47.0
